time	ctime	afmax	afmean	afrms	afxa	afya	aasp	efsp	aaxsx	efxsx	aaxsy	efxsy	efxs	ektc	ekrc	ekac	ekte	ekre	ekae	cft	sfxy	sfth	cmf	afxrms	afyrms	afzrms	ekrate	efktc	efkte	efkrate	cut	scix	sthe	sad	srd	crpm	ccrpm	cfr	ccfr	cpx	cpy	cpz	cm	ct	csn	cbn	cls	clx	cly	clz	echtlevel	easp	easpfq	esound	esoundfq	
260402 18:24:13.230	0.000						0.569	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000				0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	3500.000	0.000	200.000	19.750	-18.700	201.740	3.000	11.000	0.000	3.000	0.000	3.000	4.000	33.000	0.000	0.000	0.000	0.000	0.000	
260402 18:24:13.330	0.100						0.583	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000				0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	3500.000	0.000	200.000	19.750	-18.700	201.740	3.000	11.000	0.000	3.000	0.000	3.000	4.000	33.000	0.000	0.000	0.000	0.000	0.000	
260402 18:24:13.430	0.200						0.579	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000				0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	3500.000	0.000	200.000	19.750	-18.700	201.740	3.000	11.000	0.000	3.000	0.000	4.000	4.000	33.000	0.000	0.000	0.000	0.000	0.000	
260402 18:24:13.530	0.300						0.566	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000				0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	3500.000	0.000	200.000	19.750	-18.700	201.740	3.000	11.000	0.000	3.000	0.000	4.000	4.000	33.000	0.000	0.000	0.000	0.000	0.000	
260402 18:24:13.630	0.400						0.568	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000				0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	3500.000	0.000	200.000	19.750	-18.700	201.740	3.000	11.000	0.000	3.000	0.000	4.000	4.000	33.000	0.000	0.000	0.000	0.000	0.000	
260402 18:24:13.730	0.500						0.582	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000				0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	3500.000	0.000	200.000	19.750	-18.700	201.740	3.000	11.000	0.000	3.000	0.000	3.000	4.000	33.000	0.000	0.000	0.000	0.000	0.000	
260402 18:24:13.830	0.600						0.580	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000				0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	3500.000	0.000	200.000	19.750	-18.700	201.740	3.000	11.000	0.000	3.000	0.000	3.000	4.000	33.000	0.000	0.000	0.000	0.000	0.000	
260402 18:24:13.930	0.700						0.579	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000				0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	3500.000	0.000	200.000	19.750	-18.700	201.740	3.000	11.000	0.000	3.000	0.000	4.000	4.000	33.000	0.000	0.000	0.000	0.000	0.000	
260402 18:24:14.030	0.800						0.570	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000				0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	3500.000	0.000	200.000	19.750	-18.700	201.740	3.000	11.000	0.000	3.000	0.000	4.000	4.000	33.000	0.000	0.000	0.000	0.000	0.000	
260402 18:24:14.130	0.900						0.561	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000				0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	3500.000	0.000	200.000	19.750	-18.700	201.740	3.000	11.000	0.000	3.000	0.000	4.000	4.000	32.000	0.000	0.000	0.000	0.000	0.000	
