time	ctime	afmax	afmean	afrms	afxa	afya	aasp	efsp	aaxsx	efxsx	aaxsy	efxsy	efxs	ektc	ekrc	ekac	ekte	ekre	ekae	cft	sfxy	sfth	cmf	afxrms	afyrms	afzrms	ekrate	efktc	efkte	efkrate	cut	scix	sthe	sad	srd	crpm	ccrpm	cfr	ccfr	cpx	cpy	cpz	cm	ct	csn	cbn	cls	clx	cly	clz	echtlevel	easp	easpfq	esound	esoundfq	
250917 15:53:52.287	0.000				0.000	0.000	0.501	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	2800.000	0.000	2000.000	0.000	-12.000	329.505	8.000	3.000	0.000	4.000	0.000	5.000	5.000	45.000	0.000	0.000	0.000	0.000	0.000	
250917 15:53:52.387	0.100				0.000	0.000	0.504	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	2800.000	0.000	2000.000	0.000	-12.000	329.505	8.000	3.000	0.000	4.000	0.000	5.000	5.000	44.000	0.000	0.000	0.000	0.000	0.000	
250917 15:53:52.487	0.200				0.000	0.000	0.512	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	2800.000	0.000	2000.000	0.000	-12.000	329.505	8.000	3.000	0.000	4.000	0.000	5.000	5.000	44.000	0.000	0.000	0.000	0.000	0.000	
250917 15:53:52.587	0.300				0.000	0.000	0.501	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	2800.000	0.000	2000.000	0.000	-12.000	329.505	8.000	3.000	0.000	4.000	0.000	5.000	5.000	44.000	0.000	0.000	0.000	0.000	0.000	
250917 15:53:52.687	0.400				0.000	0.000	0.501	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	2800.000	0.000	2000.000	0.000	-12.000	329.505	8.000	3.000	0.000	4.000	0.000	5.000	5.000	44.000	0.000	0.000	0.000	0.000	0.000	
250917 15:53:52.787	0.500				0.000	0.000	0.489	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	2800.000	0.000	2000.000	0.000	-12.000	329.505	8.000	3.000	0.000	4.000	0.000	5.000	5.000	44.000	0.000	0.000	0.000	0.000	0.000	
250917 15:53:52.887	0.600				0.000	0.000	0.523	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	2800.000	0.000	2000.000	0.000	-12.000	329.505	8.000	3.000	0.000	4.000	0.000	5.000	5.000	43.000	0.000	0.000	0.000	0.000	0.000	
250917 15:53:52.987	0.700				0.000	0.000	0.513	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	2800.000	0.000	2000.000	0.000	-12.000	329.505	8.000	3.000	0.000	4.000	0.000	5.000	5.000	43.000	0.000	0.000	0.000	0.000	0.000	
250917 15:53:53.087	0.800				0.000	0.000	0.502	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	2800.000	0.000	2000.000	0.000	-12.000	329.505	8.000	3.000	0.000	4.000	0.000	5.000	5.000	43.000	0.000	0.000	0.000	0.000	0.000	
250917 15:53:53.187	0.900				0.000	0.000	0.492	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	2800.000	0.000	2000.000	0.000	-12.000	329.505	8.000	3.000	0.000	4.000	0.000	5.000	5.000	43.000	0.000	0.000	0.000	0.000	0.000	
250917 15:53:53.287	1.000				0.000	0.000	0.498	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	2800.000	0.000	2000.000	0.000	-12.000	329.505	8.000	3.000	0.000	4.000	0.000	5.000	5.000	43.000	0.000	0.000	0.000	0.000	0.000	
250917 15:53:53.387	1.100				0.000	0.000	0.504	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NaN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	2800.000	0.000	2000.000	0.000	-12.000	329.505	8.000	3.000	0.000	4.000	0.000	5.000	5.000	43.000	0.000	0.000	0.000	0.000	0.000	
